FunctionArn,Timestamp,RequestID,LogStream,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB,jobId,setType
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-10-02 17:46:56.799,5a343477-8b07-55be-ad6e-6386e2a54cc9,2020/10/02/[$LATEST]e495fae49aee46109f86dd95cbbf9748,28360.98,28400,1024,242,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,large
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-10-02 17:46:29.577,f669404c-5ea8-5680-b06f-17bd372bd12c,2020/10/02/[$LATEST]c63ab72479d5475081abe774f0fef1c7,30342.74,30400,1024,218,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,large
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-10-02 17:46:29.248,bf42e9be-570d-52b6-a442-be4f3e9ca006,2020/10/02/[$LATEST]c30874df029145bfa446a60502aa82cc,30020.59,30100,1024,216,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,large
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-10-02 17:46:28.703,e6779f78-58ed-5df5-8296-c8893160769a,2020/10/02/[$LATEST]a4dae60f512546f0b4a2b7638f9c9924,29397.91,29400,1024,225,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,large
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-10-02 17:46:27.963,75d288a7-eb86-50e9-8dfc-df56820bf99e,2020/10/02/[$LATEST]e495fae49aee46109f86dd95cbbf9748,28846,28900,1024,225,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,large
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-with-redis,2020-10-02 17:45:58.401,0cfcccb7-5006-4505-ae40-25328b68f297,2020/10/02/[$LATEST]7ee85517d2114b0a8a986d8a4dd943c4,3546.76,3600,1024,328,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,large
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-with-redis,2020-10-02 17:45:58.393,b9065d71-f691-4e69-aef2-c6e8fa16c326,2020/10/02/[$LATEST]63fe4617cdf6441f9bb5ae6578751746,3527.07,3600,1024,294,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,large
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-with-redis,2020-10-02 17:45:58.393,60509ce2-06f2-4ea6-b5ff-e2f53d743f3f,2020/10/02/[$LATEST]33b935513f8a4fa5a4317371082531e3,3517.71,3600,1024,319,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,large
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-with-redis,2020-10-02 17:45:58.332,74c78bd9-9507-46b9-87ef-c6c8309c4787,2020/10/02/[$LATEST]1079796f42ac487baa37e2c7ea537933,3502.9,3600,1024,330,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,large
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-with-redis,2020-10-02 17:45:58.262,cc90d58c-c11e-466d-aa43-f2f76c561ac9,2020/10/02/[$LATEST]063dd18075a046458026d10e225ffee2,3435.31,3500,1024,325,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,large
