lambdaExecutionIndex,memoryAllocationInMB,processingTime,requestId,lambdaFunctionName,jobId,parralleLambdaNr
1,1024,0.232,23fa566d-374f-4017-b0f2-7c814a3eeeb5,gsd-index-calculator-dev-start-job-with-redis,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,5
2,1024,3.423,cc90d58c-c11e-466d-aa43-f2f76c561ac9,gsd-index-calculator-dev-preprocess-with-redis,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,5
3,1024,3.495,74c78bd9-9507-46b9-87ef-c6c8309c4787,gsd-index-calculator-dev-preprocess-with-redis,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,5
4,1024,3.511,60509ce2-06f2-4ea6-b5ff-e2f53d743f3f,gsd-index-calculator-dev-preprocess-with-redis,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,5
5,1024,3.52,b9065d71-f691-4e69-aef2-c6e8fa16c326,gsd-index-calculator-dev-preprocess-with-redis,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,5
6,1024,3.54,0cfcccb7-5006-4505-ae40-25328b68f297,gsd-index-calculator-dev-preprocess-with-redis,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,5
7,1024,28.84,75d288a7-eb86-50e9-8dfc-df56820bf99e,gsd-index-calculator-dev-calculate-with-redis,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,5
8,1024,29.393,e6779f78-58ed-5df5-8296-c8893160769a,gsd-index-calculator-dev-calculate-with-redis,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,5
9,1024,30.014,bf42e9be-570d-52b6-a442-be4f3e9ca006,gsd-index-calculator-dev-calculate-with-redis,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,5
10,1024,30.336,f669404c-5ea8-5680-b06f-17bd372bd12c,gsd-index-calculator-dev-calculate-with-redis,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,5
11,1024,28.358,5a343477-8b07-55be-ad6e-6386e2a54cc9,gsd-index-calculator-dev-calculate-with-redis,3fbdfc9b-2ea1-43b3-bd40-965ddbcee1ef,5
1,1024,0.126,53b609e6-6fba-4547-b808-9f68f47e19d8,gsd-index-calculator-dev-start-job-with-redis,1c35a67c-ab66-43f0-b252-2aad6c913d8c,5
2,1024,2.673,6d67c45b-3bcd-4dc0-b897-dac4a33886fe,gsd-index-calculator-dev-preprocess-with-redis,1c35a67c-ab66-43f0-b252-2aad6c913d8c,5
3,1024,2.719,2215644c-94f5-423c-a244-aa57a1f5d1b6,gsd-index-calculator-dev-preprocess-with-redis,1c35a67c-ab66-43f0-b252-2aad6c913d8c,5
4,1024,2.743,26516291-8483-4c65-92ca-8eb3d30b5b2a,gsd-index-calculator-dev-preprocess-with-redis,1c35a67c-ab66-43f0-b252-2aad6c913d8c,5
5,1024,2.779,ac7c2c33-6cbe-43aa-b831-617c03caba05,gsd-index-calculator-dev-preprocess-with-redis,1c35a67c-ab66-43f0-b252-2aad6c913d8c,5
6,1024,2.873,a8107665-8e05-49ae-b565-52f201ad32bc,gsd-index-calculator-dev-preprocess-with-redis,1c35a67c-ab66-43f0-b252-2aad6c913d8c,5
7,1024,28.603,b4fe6fb8-0478-5da0-a118-38496e99d476,gsd-index-calculator-dev-calculate-with-redis,1c35a67c-ab66-43f0-b252-2aad6c913d8c,5
8,1024,29.091,33a7ffb7-dbb4-5399-80b9-a846b16bebc2,gsd-index-calculator-dev-calculate-with-redis,1c35a67c-ab66-43f0-b252-2aad6c913d8c,5
9,1024,29.704,4efc703f-c09d-5a8a-b1fa-27ceaa7dea93,gsd-index-calculator-dev-calculate-with-redis,1c35a67c-ab66-43f0-b252-2aad6c913d8c,5
10,1024,29.927,67ae1127-ad01-5343-b2b1-46d6c7e876ec,gsd-index-calculator-dev-calculate-with-redis,1c35a67c-ab66-43f0-b252-2aad6c913d8c,5
11,1024,29.489,d8c69eea-a2ec-5d93-8430-c91bc80bd1f9,gsd-index-calculator-dev-calculate-with-redis,1c35a67c-ab66-43f0-b252-2aad6c913d8c,5
1,1024,0.093,afcb1d11-1784-4b30-80d7-52c1136ad5f6,gsd-index-calculator-dev-start-job-with-redis,e20a1b0d-0f04-4a95-a11e-76c5818ec022,5
2,1024,2.437,2a8cf739-6f4e-42e6-9c32-0e58303ad023,gsd-index-calculator-dev-preprocess-with-redis,e20a1b0d-0f04-4a95-a11e-76c5818ec022,5
3,1024,2.56,db24c2e1-ca5e-4eb5-9cc2-bfc3dfc73b31,gsd-index-calculator-dev-preprocess-with-redis,e20a1b0d-0f04-4a95-a11e-76c5818ec022,5
4,1024,3.313,232ac1d0-d153-45c3-966c-7e15f9151bb7,gsd-index-calculator-dev-preprocess-with-redis,e20a1b0d-0f04-4a95-a11e-76c5818ec022,5
5,1024,3.388,0f44f1a2-7acb-4a06-a8b3-ce52ea43e0d9,gsd-index-calculator-dev-preprocess-with-redis,e20a1b0d-0f04-4a95-a11e-76c5818ec022,5
6,1024,3.509,e9b330d0-60b6-47c1-b4c1-171459458457,gsd-index-calculator-dev-preprocess-with-redis,e20a1b0d-0f04-4a95-a11e-76c5818ec022,5
