FunctionArn,Timestamp,RequestID,LogStream,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 21:44:22.898,b45e2017-5c1e-5996-b0a1-77faf0865767,2020/09/29/[$LATEST]9e3f03f26976416fa4349595e04e8089,91470.88,91500,1024,312
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 21:43:49.636,66335454-7e5e-5f36-a5db-03b9d22c31c7,2020/09/29/[$LATEST]41e6a9745a03444ba41dbbe052bbd9f9,88218.1,88300,1024,334
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 21:43:20.770,e19738fc-361b-59f6-a493-6f119a48c8a1,2020/09/29/[$LATEST]4d70355dc66849a3ad1f1448ed0dac4c,88419.45,88500,1024,283
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 21:42:53.615,cce6fbb2-e762-5141-8946-ac5f4b5f1fb0,2020/09/29/[$LATEST]ebf8f7498ab1403dae34f5a8b4b822de,91358.93,91400,1024,283
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 21:42:20.605,2a036d00-6f58-56cf-a00c-3aedc3478eda,2020/09/29/[$LATEST]41e6a9745a03444ba41dbbe052bbd9f9,88382.92,88400,1024,281
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-with-redis,2020-09-29 21:41:54.102,3c3800a3-50ec-5547-ae22-574efb1be82d,2020/09/29/[$LATEST]9e3f03f26976416fa4349595e04e8089,91396.33,91400,1024,275
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-with-redis,2020-09-29 21:40:21.386,22af811c-2f6f-43a1-8ef1-02c17f875cde,2020/09/29/[$LATEST]c2ce93ecca884fe780a390ceba728c95,15093.16,15100,1024,971
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-with-redis,2020-09-29 21:39:05.114,22af811c-2f6f-43a1-8ef1-02c17f875cde,2020/09/29/[$LATEST]c2ce93ecca884fe780a390ceba728c95,13339.53,13400,1024,937
646012695651:/aws/lambda/gsd-index-calculator-dev-start-job-with-redis,2020-09-29 21:38:50.884,e6088337-bbdc-4b67-80b7-324566e93bcb,2020/09/29/[$LATEST]eb80ddfdb8924096804930f2a0eb4fb0,115.5,200,1024,94
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-with-redis,2020-09-29 21:36:21.153,02f4a582-796f-4df9-88c4-71b2a163ef6e,2020/09/29/[$LATEST]81d72329c19949fe8285d19fe0d8a10a,15789.54,15800,1024,1024
