arn, redisTsValue, currentSystemTs, passedTime, parallelLambdas
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#3cf01e47-0c8b-4128-b42a-b1ae56ab7471, 1601576632552, 1601576632560, 8, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#3cf01e47-0c8b-4128-b42a-b1ae56ab7471, 1601576639143, 1601576639153, 10, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#3cf01e47-0c8b-4128-b42a-b1ae56ab7471, 1601576639279, 1601576639289, 10, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#3cf01e47-0c8b-4128-b42a-b1ae56ab7471, 1601576639296, 1601576639305, 9, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#3cf01e47-0c8b-4128-b42a-b1ae56ab7471, 1601576639523, 1601576639532, 9, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#3cf01e47-0c8b-4128-b42a-b1ae56ab7471, 1601576639858, 1601576639873, 15, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#3cf01e47-0c8b-4128-b42a-b1ae56ab7471, 1601576730259, 1601576730282, 23, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#3cf01e47-0c8b-4128-b42a-b1ae56ab7471, 1601576731231, 1601576731239, 8, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#3cf01e47-0c8b-4128-b42a-b1ae56ab7471, 1601576731498, 1601576731517, 19, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#3cf01e47-0c8b-4128-b42a-b1ae56ab7471, 1601576732494, 1601576732512, 18, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#3cf01e47-0c8b-4128-b42a-b1ae56ab7471, 1601576733848, 1601576733876, 28, 5
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577072083, 1601577072089, 6, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577072083, 1601577072091, 8, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577074935, 1601577074944, 9, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577074935, 1601577074946, 11, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577074979, 1601577074990, 11, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577074979, 1601577074992, 13, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577074990, 1601577075016, 26, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577074990, 1601577075018, 28, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#72f0341a-f5bd-4259-9f5f-ace1b0eabbbb, 1601577075052, 1601577075119, 67, 40
