arn, redisTsValue, currentSystemTs, passedTime, parallelLambdas
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::202f5dff-0ce7-4298-aa35-c3f53d46d58a, 1601581129928, 1601581129976, 48, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::77de1317-dd16-4c16-95f7-fcfd25ec0bd1, 1601581132914, 1601581132963, 49, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::6a44ae42-74c0-46b8-8988-86b21eadb21c, 1601581132934, 1601581132994, 60, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::0c0659bd-9d48-4f5a-b5a0-530ce4051df0, 1601581132993, 1601581133166, 173, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::d228ec58-2d97-4ecd-b727-f1ece7baf7c0, 1601581133015, 1601581133167, 152, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::ff38a4e4-d73a-4c41-81b1-8d3e3a6735db, 1601581133015, 1601581133167, 152, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::b7c81eab-48fc-49a5-ae16-694b89dbb26c, 1601581133024, 1601581133167, 143, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::c44aaed7-e1c0-4c37-86ce-8fe26efc1edd, 1601581133038, 1601581136647, 3609, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::86bb15ac-4f4d-4b8c-a557-3e8018f3acfa, 1601581133031, 1601581136647, 3616, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#6c265363-bcee-4949-b72b-7bcff07efc46::94458b84-7ce2-4be5-bdb2-e8fae6bb4000, 1601581133057, 1601581136647, 3590, 40
