arn, redisTsValue, currentSystemTs, passedTime

arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#ad5056aa-f90f-466b-9a82-02748ee47814, 1601414217107, 1601414217154, 47
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#1aac8a87-bcf2-4160-a3bf-91bc20becf97, 1601415143364, 1601415143418, 54
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415530875, 1601415530921, 46
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415530875, 1601415530925, 50
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415621376, 1601415621429, 53
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415621376, 1601415621430, 54
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415714078, 1601415714147, 69
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415714078, 1601415714149, 71
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415740529, 1601415740600, 71
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415740529, 1601415740601, 72
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415773560, 1601415773607, 47
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415773560, 1601415773609, 49
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415800730, 1601415800797, 67
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415800730, 1601415800799, 69
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415829627, 1601415829689, 62
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415829627, 1601415829690, 63
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415862858, 1601415862926, 68
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#e11b0ae5-9d3c-4def-ba9c-cb3cee6908c0, 1601415862858, 1601415862928, 70
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#96cc98a9-cbeb-425b-b391-78595209fd6b, 1601417125679, 1601417125732, 53
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#96cc98a9-cbeb-425b-b391-78595209fd6b, 1601417132432, 1601417132473, 41
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#96cc98a9-cbeb-425b-b391-78595209fd6b, 1601417132580, 1601417132631, 51
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#96cc98a9-cbeb-425b-b391-78595209fd6b, 1601417132646, 1601417132682, 36
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#96cc98a9-cbeb-425b-b391-78595209fd6b, 1601417132646, 1601417132691, 45
