arn, redisTsValue, currentSystemTs, passedTime
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#1e59349c-e41e-44a7-adf4-89bfbb41bad6, 1601243289013, 1601243289062, 49
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#1e59349c-e41e-44a7-adf4-89bfbb41bad6, 1601243297150, 1601243297197, 47
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#1e59349c-e41e-44a7-adf4-89bfbb41bad6, 1601243310076, 1601243310176, 100
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#d1ad5380-fb77-4baf-bd46-af8771344d30, 1601244120799, 1601244120861, 62
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#d1ad5380-fb77-4baf-bd46-af8771344d30, 1601244132330, 1601244132451, 121
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#d1ad5380-fb77-4baf-bd46-af8771344d30, 1601244132460, 1601244132525, 65
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#d1ad5380-fb77-4baf-bd46-af8771344d30, 1601244132683, 1601244132728, 45
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#d1ad5380-fb77-4baf-bd46-af8771344d30, 1601244133398, 1601244133443, 45
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#d1ad5380-fb77-4baf-bd46-af8771344d30, 1601244133576, 1601244133618, 42
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#d1ad5380-fb77-4baf-bd46-af8771344d30, 1601244145014, 1601244145061, 47
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#d1ad5380-fb77-4baf-bd46-af8771344d30, 1601244145014, 1601244145062, 48
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#d1ad5380-fb77-4baf-bd46-af8771344d30, 1601244145374, 1601244145438, 64
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#d1ad5380-fb77-4baf-bd46-af8771344d30, 1601244145648, 1601244145697, 49
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#d1ad5380-fb77-4baf-bd46-af8771344d30, 1601244145910, 1601244145963, 53
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#011ee545-bb74-4262-ac59-b8fc7ebc2e5c, 1601244275433, 1601244275519, 86
