FunctionArn,Timestamp,RequestID,LogStream,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB,jobId,setType
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-without-tracing,2020-10-03 22:22:58.911,c8080575-362a-5f11-b046-5287cdca8883,2020/10/03/[$LATEST]ed0e3ade38324fb3893bc96c9d1fd221,29458.18,29500,1024,227,b4d9c624-e6c8-4c93-8f0e-220586381967,large
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-without-tracing,2020-10-03 22:22:58.838,8b25b548-19d7-5a6e-bf15-e2bae237a794,2020/10/03/[$LATEST]6523a1cc0bf54688b902756d710fc8e0,29385.16,29400,1024,224,b4d9c624-e6c8-4c93-8f0e-220586381967,large
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-without-tracing,2020-10-03 22:22:58.797,f0cd9592-6d93-53f9-aa84-c260964aaf8c,2020/10/03/[$LATEST]2a0c1f2d39e14e91a61fa800e944a427,29300.45,29400,1024,227,b4d9c624-e6c8-4c93-8f0e-220586381967,large
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-without-tracing,2020-10-03 22:22:58.711,532ab51c-a840-5171-af71-e2ee539f1f9e,2020/10/03/[$LATEST]9e0895eb026142f3a5d163da58fe8ef5,29219.43,29300,1024,225,b4d9c624-e6c8-4c93-8f0e-220586381967,large
646012695651:/aws/lambda/gsd-index-calculator-dev-calculate-without-tracing,2020-10-03 22:22:56.884,c75169b9-5426-5148-9e8a-3e4bafc6f07b,2020/10/03/[$LATEST]b4ce5565ab154eeaac333b09bf1b5005,27464.02,27500,1024,227,b4d9c624-e6c8-4c93-8f0e-220586381967,large
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-without-tracing,2020-10-03 22:22:28.703,a3fc8358-e58d-402e-ade0-ccb461db20c0,2020/10/03/[$LATEST]bd3fd21b977c46f392b4e3d5ff600835,3186.83,3200,1024,346,b4d9c624-e6c8-4c93-8f0e-220586381967,large
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-without-tracing,2020-10-03 22:22:28.679,7db1cc11-60ef-4a74-a8d8-b238e4729e99,2020/10/03/[$LATEST]732ea009011343548159dc24b87a2919,3153.82,3200,1024,335,b4d9c624-e6c8-4c93-8f0e-220586381967,large
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-without-tracing,2020-10-03 22:22:28.671,a07df16a-5c32-48f6-96cf-1e1259755905,2020/10/03/[$LATEST]ff6d74475d0a401c9aefcb77125d8765,3095.5,3100,1024,336,b4d9c624-e6c8-4c93-8f0e-220586381967,large
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-without-tracing,2020-10-03 22:22:28.545,3130e7b3-96fb-4733-8d73-0c0c46ad091f,2020/10/03/[$LATEST]6120c3cf76144719ad91b9fa4c5ef76a,2999.13,3000,1024,352,b4d9c624-e6c8-4c93-8f0e-220586381967,large
646012695651:/aws/lambda/gsd-index-calculator-dev-preprocess-without-tracing,2020-10-03 22:22:28.504,472462af-e97c-4a16-ba9b-51cac0b1be16,2020/10/03/[$LATEST]f104e0280c004af6a7017a26f11dc2a6,2961.87,3000,1024,297,b4d9c624-e6c8-4c93-8f0e-220586381967,large
